# LESEPROTOKOLL — maschinell erzeugt, ueberpruefbar
# Repo: EditorAufbauV3  Branch: master (cd94164)
# Erzeugt: 2026-09-04T08:32:48Z
# Spalten: STATUS | ZEILEN | SHA1 | DATEI
#
TEIL   |   383|80c51efe9345|src/state/Editor.ts
INVENTUR|    12|e60a26dc654e|src/state/EditorContext.ts
INVENTUR|    12|1e58b14971a2|src/state/EditorProvider.tsx
INVENTUR|    24|92359b84d11d|src/state/RelationStore.ts
VOLL   |    22|87e489b8b2c2|src/state/Subject.ts
INVENTUR|   164|e050f1473cf1|src/state/VorlagenStore.ts
INVENTUR|   144|160d5ceff43e|src/state/duplizieren.ts
INVENTUR|    85|6f120a228fbb|src/state/history.ts
INVENTUR|   321|45b67d10a0b9|src/state/ladeKette.ts
INVENTUR|   168|2f504bcf91ab|src/state/ladenUndSichern.test.ts
INVENTUR|    14|28906efa708a|src/state/loescheBaustein.ts
INVENTUR|    10|b5e6f28ae60d|src/state/maskeUebernehmen.ts
INVENTUR|   171|9b24742e931e|src/state/maskenDatei.ts
INVENTUR|    23|3eff61f681ae|src/state/maskenName.test.ts
INVENTUR|    40|706722de3603|src/state/meldungen.ts
INVENTUR|   114|f162c15df127|src/state/migrationenRoh.test.ts
INVENTUR|   279|595c951472c1|src/state/migrationenRoh.ts
INVENTUR|   207|f41b5235038e|src/state/migrations.ts
INVENTUR|    83|a4f81fb301ee|src/state/notfallkopie.ts
INVENTUR|   106|424d5e2f6751|src/state/pageOps.ts
INVENTUR|   169|2bbb67e08cb3|src/state/persistence.ts
INVENTUR|    17|73e55561df99|src/state/propsPatch.ts
VOLL   |    62|c8bc3fed9dfb|src/state/quellenOps.ts
INVENTUR|   186|9ae46e0988ac|src/state/rasterOps.ts
INVENTUR|    26|3a5f05fb112f|src/state/selectionOps.ts
INVENTUR|   108|6f2b2793ce0f|src/state/spaltenAufraeumen.test.ts
INVENTUR|    88|db2901c17234|src/state/spaltenAufraeumen.ts
INVENTUR|    25|118042a1a2ef|src/state/speicherPlaner.ts
INVENTUR|    34|43489563ebf7|src/state/templateRules.ts
INVENTUR|    77|4136e3259b2b|src/state/topologie.ts
INVENTUR|    41|5f0c95e40eba|src/state/treeOps.ts
INVENTUR|    10|eac0b771df84|src/state/useDataSources.ts
INVENTUR|    13|f5dfe6b86629|src/state/useEditor.ts
INVENTUR|    53|88b5cd9c1681|src/state/useKeyboardShortcuts.ts
INVENTUR|    10|cd57b3b63759|src/state/useMeldungen.ts
INVENTUR|    10|e74d6650dfba|src/state/useRelations.ts
INVENTUR|   133|70636839b44e|src/ui/bausteinZeichen.tsx
INVENTUR|   121|0ccb041ab619|src/ui/molecules/auswahl-fenster.tsx
INVENTUR|    44|5de532224d85|src/ui/werkbank/Ankreuz.tsx
INVENTUR|   128|34b80349fbf7|src/ui/werkbank/Dialog.tsx
INVENTUR|    52|86f605b2e12f|src/ui/werkbank/Eintrag.tsx
INVENTUR|    50|2f4e170c6f95|src/ui/werkbank/Farbfeld.tsx
INVENTUR|    42|d9795b71b80a|src/ui/werkbank/Feld.tsx
INVENTUR|    74|2d73e06b7d2a|src/ui/werkbank/Gruppe.tsx
INVENTUR|    46|cbe28523e582|src/ui/werkbank/Kachel.tsx
INVENTUR|    47|1236aa791bdb|src/ui/werkbank/Knopf.tsx
INVENTUR|   156|d8ebadb83fd4|src/ui/werkbank/Liste.tsx
INVENTUR|    47|5ccd073cf2f1|src/ui/werkbank/ListeDetail.tsx
INVENTUR|    37|d02d747abb30|src/ui/werkbank/Marke.tsx
INVENTUR|    57|9725344a1708|src/ui/werkbank/MenueZeile.tsx
INVENTUR|   127|e4eb1d56152b|src/ui/werkbank/Popover.tsx
INVENTUR|    49|6a220fdc9774|src/ui/werkbank/Reiter.tsx
INVENTUR|    56|b324bb614972|src/ui/werkbank/Schalter.tsx
INVENTUR|    63|5332606c2de8|src/ui/werkbank/Segment.tsx
INVENTUR|    16|ad1ceeb979af|src/ui/werkbank/Trenner.tsx
INVENTUR|    64|bdefd053f87a|src/ui/werkbank/Wahl.tsx
INVENTUR|    36|e4769c51ff3a|src/ui/werkbank/Zahl.tsx
INVENTUR|    75|140fd2726d8f|src/ui/werkbank/Zeile.tsx
INVENTUR|    75|dfbf5a1326b3|src/ui/zeichen.ts
INVENTUR|   257|afabd39b23f9|src/ui/zeichenDaten.ts
INVENTUR|     1|e2eac6bcc876|src/vite-env.d.ts
INVENTUR|    41|f569762f80c5|tools/SICHTPROBE.md
INVENTUR|     0|d2122a5fc7bd|tools/sichtprobe-seed.json
